pair,corpus,family,gt,committee,error_type,category,why_wrong
939a9e411b3426ea,blind_eval,sentinel_default,conflict,escalate,escalation_miss,mutation,Escalated instead of deciding; Missed default-semantics / sentinel mutation
98b8b1e4b584a88c,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
9aa87bae12174e4e,blind_eval,sentinel_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
9eb578e52bfe06a0,blind_eval,aliasing_safe_copy,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
9f317ad404d1247c,blind_eval,error_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
a2f0fcecacb1b988,blind_eval,sentinel_dual_api,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
a8b5a7f5078982b8,blind_eval,sentinel_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
aa856882e3b900d7,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
aae23a1e0e3d29b7,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
ab213189ea513af0,blind_eval,sentinel_default,conflict,no_conflict,false_negative,mutation,Missed default-semantics / sentinel mutation
ab59c9e47dbab097,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
ac3195522586cc84,blind_eval,error_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
acb4fdf2184e6c48,blind_eval,cross_file_orthogonal,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
b1d20992039e157f,blind_eval,error_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
b42e858a8c5b0c4d,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
bd19fd91ce2303e3,blind_eval,ordering_default,conflict,no_conflict,false_negative,mutation,Missed default-semantics / sentinel mutation
c357e9cc33faefde,blind_eval,case_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
ca49b44be4901428,blind_eval,aliasing_safe_copy,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
cdd9ef567322ea35,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
d334b49ab37720a4,blind_eval,case_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
d364ec7df2339361,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
d37cd89109f0a264,blind_eval,cross_file_orthogonal,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
d38cd6dd5fa2248b,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
d4497ba843eb5924,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
d4adbb34da588211,blind_eval,aliasing_safe_copy,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
d5f10684ecf71d4d,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
d7b024344dac0e50,blind_eval,error_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
d84e32abe003073c,blind_eval,aliasing_safe_copy,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
db0fa6fa0db53982,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
dbf4cf9d4d35a2df,blind_eval,aliasing_safe_copy,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
e2b7e12af33c9763,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
e4d70c9fae7079f0,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
e6095ca42e19cebb,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
e89d0b04627e4bdd,blind_eval,cross_file_orthogonal,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
eb83946c68b62faa,blind_eval,cross_file_orthogonal,no_conflict,conflict,false_positive,hallucination,Hallucinated rename/stale dependency that is not in the diffs
f1338fc1b2193f76,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
f37cfa0dad1e3d55,blind_eval,boundary_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
f3c705c55285920e,blind_eval,ordering_dual_api,no_conflict,conflict,false_positive,conflict_bias,Treated additive dual-API / docstring twin as incompatible APIs
f522f7d24223b273,blind_eval,case_sensitivity,conflict,escalate,escalation_miss,ownership,Escalated instead of deciding; Missed case-sensitivity contract
f7220ff3432eae57,blind_eval,cross_file_orthogonal,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
f8b0f91a171bc40b,blind_eval,aliasing_contract,conflict,escalate,escalation_miss,aliasing,Escalated instead of deciding; Ignored copy-vs-alias / ownership mutation hazard
fe69e6e85b2bdbcf,blind_eval,error_dual_api,no_conflict,conflict,false_positive,conflict_bias,Predicted conflict without demonstrating a behavior break
hard_aliasing_contract_0004,hard_negatives,aliasing_contract,conflict,no_conflict,false_negative,aliasing,Ignored copy-vs-alias / ownership mutation hazard
hard_boundary_contract_0001,hard_negatives,boundary_contract,conflict,escalate,escalation_miss,ownership,Escalated instead of deciding; Missed boundary/threshold contract change
hard_boundary_contract_0013,hard_negatives,boundary_contract,conflict,escalate,escalation_miss,ownership,Escalated instead of deciding; Missed boundary/threshold contract change
hard_case_sensitivity_0012,hard_negatives,case_sensitivity,conflict,escalate,escalation_miss,ownership,Escalated instead of deciding; Missed case-sensitivity contract
hard_case_sensitivity_0018,hard_negatives,case_sensitivity,conflict,no_conflict,false_negative,ownership,Missed case-sensitivity contract
hard_case_sensitivity_0072,hard_negatives,case_sensitivity,conflict,escalate,escalation_miss,ownership,Escalated instead of deciding; Missed case-sensitivity contract
hard_error_contract_0005,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0023,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0029,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0053,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0059,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0071,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0077,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_error_contract_0095,hard_negatives,error_contract,conflict,escalate,escalation_miss,exception_contract,Escalated instead of deciding; Missed exception-contract change (silent fallback vs raise)
hard_ordering_default_0068,hard_negatives,ordering_default,conflict,escalate,escalation_miss,mutation,Escalated instead of deciding; Missed default-semantics / sentinel mutation
hard_ordering_default_0080,hard_negatives,ordering_default,conflict,no_conflict,false_negative,mutation,Missed default-semantics / sentinel mutation
hard_sentinel_default_0021,hard_negatives,sentinel_default,conflict,escalate,escalation_miss,mutation,Escalated instead of deciding; Missed default-semantics / sentinel mutation
twin_aliasing_contract_0001,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0002,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0003,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0004,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_aliasing_contract_0005,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0006,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_aliasing_contract_0007,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_aliasing_contract_0008,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_aliasing_contract_0009,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0011,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0012,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_aliasing_contract_0013,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_aliasing_contract_0014,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0015,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0016,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_aliasing_contract_0017,hard_compatible,aliasing_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0003,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_boundary_contract_0004,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0005,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_boundary_contract_0006,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0007,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0008,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0009,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
twin_boundary_contract_0010,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0011,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0012,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0013,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0014,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0015,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0016,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,conflict_bias,Conflict-biased vote on behavior-preserving twin
twin_boundary_contract_0017,hard_compatible,boundary_contract,no_conflict,conflict,false_positive,hallucination,Hallucinated semantic break on docstring-only left branch
